Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups,Task Division
Roads,"Statewide Road Network including sealed and unsealed roads. The dataset represents navigable roads, including public and private access roads and tracks. A separate data layer stores 'unformed' DCDB centrelines which do not represent navigable roads. A limited number of associated features are stored separately as point features. 
Automatically updated when changes occur.",dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/4cc17ac3-ce49-4525-971b-6122023b8937,2013-05-27T05:01:24.419428,2017-02-22T03:45:34.121844,Nick.Avraam@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","roads, safety, spatial, tracks, transport","Housing, land, planning and infrastructure",Selina
SA Government Regions,"South Australian Government Regions facilitate the planning, monitoring and service delivery of government functions. The regions align to whole local government boundaries, with only one exception out of 68 councils - the separation of Enfield from the Port Adelaide Enfield Council.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/4d92b947-7b09-4486-bd7a-e4b2ae15a62c,2015-12-21T22:05:14.986656,2017-02-20T00:09:25.868252,DPTI.PDPlanningInformation@sa.gov.au,Data based on aggregate level,2007/1/17,2014/2/13,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Councils, Planning, Port Adelaide, Regions, Service Delivery","Housing, land, planning and infrastructure",Selina
Residential Code,"The Residential Code (see http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-and-property-development-applications/streamlined-residential-development/residential-development-code-updates) was introduced in 2009 to allow for simpler, faster and cheaper planning and building approvals for home construction and renovation. This dataset defines the spatial extent of the Residential Code (the Determined Area for the Purposes of Schedule 4 - Complying development Clause 2B - New Dwellings in The South Australian Government Gazette, first published 27 November 2009, Supplementary Gazettes 1 to 6).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/a6b78241-de36-4180-878b-d5d0db01d69a,2013-05-17T04:29:25.988223,2017-01-08T23:25:08.049046,DPTI.PDPlanningInformation@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Residential, code, determined area, development, dwellings, housing, new dwelling, planning, spatial","Housing, land, planning and infrastructure",Selina
Mining Production Tenement Regulations Areas,Referral areas concerning the siting of Mining Tenement from Schedule 20 of the regulations to the Development Act 1993.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/bb56bee3-61c3-438e-96b1-bbc0a0ce76b0,2016-10-10T04:46:16.210069,2017-01-08T23:24:15.315284,DPTI.PDPlanningInformation@sa.gov.au,,1994/1/1,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","human environment, mining, planning","Housing, land, planning and infrastructure",Selina
Metropolitan Open Space System Study Area (MOSS),The Metropolitan Open Space System (MOSS) study area shows boundaries of pre-defined areas zoned or earmarked for Second Generation Parklands or open space and includes land already purchased and incorporated into the system. The boundary is a thematic depiction only.,dataset,English,Creative Commons Attribution,active,Linked,never,/dataset/5fb4e6d7-1afe-4f91-a575-f65b451b3c2b,2013-05-17T03:42:24.027637,2017-01-08T23:23:22.135866,mailto:DPTI.PDPlanningInformation@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Land, Planning, Spatial, Zones, adelaide, boundaries, metropolitan, nature, open_space, parklands, recreation","Housing, land, planning and infrastructure",Selina
Land Use Generalised 2016,This layer is a general parcel-based land use derived from the valuation information and land parcel boundaries. The land use code from the valuation has been categorised into 17 broad classes.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/f2daf6f7-423d-4692-8f5f-9316b3e5696b,2016-12-23T02:02:54.895502,2017-01-08T23:22:40.751893,DPTI.PDPlanningInformation@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","development, land, land use, planning, spatial","Housing, land, planning and infrastructure",Selina
Land Use Generalised 2015,This layer is a general parcel-based land use derived from the valuation information and land parcel boundaries. The land use code from the valuation has been categorised into 17 broad classes.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/3d1fc5f0-ce19-4b68-a7cd-191ded177f5e,2013-05-16T07:02:11.055988,2016-12-23T02:33:15.993757,kerry.richardson@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","development, land, land use, planning, spatial","Housing, land, planning and infrastructure",Selina
Suburbs,South Australian suburb boundaries in a variety of formats.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e4d3a355-29d7-4bdc-a81d-13fd5ed09ef9,2013-03-14T17:32:34.841220,2016-12-23T02:15:13.895946,william.watt@sa.gov.au,,1990/1/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Suburb, development, housing, infrastructure, location, planning","Housing, land, planning and infrastructure",Selina
Land Development Zones,"Land Development Zones consists of planning zones, policy areas and precincts derived from legal planning boundaries. This information is obtained from individual council Development Plans and has been captured for the state, based on development plan areas. Development Plan Link: http://www.sa.gov.au/topics/housing-property-and-land/local-government/development-plans/online-development-plans",dataset,English,Creative Commons Attribution,active,Linked,annually,/dataset/0ffa95bd-9345-4dd5-aa22-e91158538743,2013-05-17T03:19:01.401943,2016-12-21T01:35:53.559045,DPTI.PDPlanningInformation@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Zones, controls, development, land, planning, spatial","Housing, land, planning and infrastructure",Selina
SA Heritage Places,"SA Heritage Places indicates the spatial location of State Heritage Places from the South Australian Heritage Register (see http://www.environment.sa.gov.au/our-places/Heritage/SA_Heritage_Register), Local Heritage Places and Contributory Items from council development plans. Information about each heritage place includes:
	the land parcel associated with each heritage place/item
	description, criteria for listing
	address, plan/parcel/title, Local Government Area, development plan name.
SA Heritage Places is available as spatial layers in point (centroid of the heritage place) and polygon (indicative footprint of the heritage place) format.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/5ca4f0ea-74df-4743-8748-78320b052222,2015-12-20T22:02:52.598876,2016-12-21T01:11:55.760993,DPTI.PDPlanningInformation@sa.gov.au,Data based on aggregate level,2002/10/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Heritage Places, Heritage Register, Local Heritage","Arts, culture & history",Selina
Bushfire Protection Areas,"Bushfire Protection Areas (see http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/about-bushfire-protection-areas) show the spatial extent of the Bushfire Protection provisions brought in under the Ministerial Bushfire Management amendments in 2006 (part 1 and part 2) and 2007 (part 3). The level of bushfire risk is rated as High, Medium, General or Excluded and determines the planning approvals plus requirements under the Australian Building Code and Australian Standard AS 3959 for the construction of dwellings in the defined bushfire risk areas. Some areas have criteria that, if met, change the designated level of bushfire risk. Bushfire Protection Areas exist in the South East Region, Riverland, Kangaroo Island, Mount Lofty Ranges, Mid North, Yorke Peninsula and Eyre Peninsula.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/dataset/30e275dd-a6f3-4af5-8b8a-6f4919ff6fe7,2013-05-17T03:07:41.052978,2016-12-04T23:10:32.709341,DPTI.PDPlanningInformation@sa.gov.au,Updated down to unit area,2006/6/30,2015/3/4,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bushfires, land, nature, planning, safety, spatial","Emergency and safety, Housing, land, planning and infrastructure",Selina
Energy Efficiency Concession Areas,Energy efficiency concession areas are used in conjunction with the Building Code of Australia and illustrates the areas of the state that may be eligible for an energy efficiency concession for certain types of buildings. Building Code of Australia Link: http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/the-building-code-of-australia,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/131403e0-3f15-457d-a73f-a607b35f7e73,2016-10-10T03:55:05.327997,2016-12-04T23:10:15.135219,DPTI.PDBuildingBranch@sa.gov.au,,2012/1/6,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","building code, human environment, planning","Housing, land, planning and infrastructure",Selina
Energy Efficiency (Climate) Zones,Energy Efficiency (Climate) Zones are used in conjunction with the Building Code of Australia for the purpose in determining the extent of energy efficiency measures required for all new homes and extensions built in South Australia. Building Code of Australia Link: http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/the-building-code-of-australia,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/1ae7c6ac-1c07-46a7-be09-b060a53752d7,2016-10-10T04:06:08.215867,2016-12-04T23:10:01.748710,DPTI.PDBuildingBranch@sa.gov.au,,2009/7/14,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","building code, human environment, planning","Housing, land, planning and infrastructure",Selina
Earthquake Hazard Zones,Earthquake Hazard Zones are used in conjunction with the Building Code of Australia for use with the design of domestic structures in accordance with Appendix A Domestic Structures (Housing) of AS 1170.4. Building Code of Australia Link: http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/the-building-code-of-australia,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/98259e9b-480f-401f-b715-f52d0c17cb72,2016-10-10T04:27:00.266758,2016-12-04T23:09:48.596823,DPTI.PDBuildingBranch@sa.gov.au,,2009/7/14,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","building code, earthquake, human environment, planning",Emergency and safety,Selina
Design Wind Speed,"Design wind speed delineates the design wind velocity (permissible stress) in wind speeds of 28, 33 and 41 metres per second. This data can be used to determine the design wind speed for a particular site, but does not preclude undertaking an individual site assessment. This data set is used in conjunction with the Building Code of Australia. See http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/the-building-code-of-australia.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/68ce0023-5542-425c-a35a-870854781259,2014-07-07T08:04:16.707378,2016-12-04T23:09:35.827784,DPTI.PDBuildingBranch@sa.gov.au,Data based on aggregate level,1994/2/7,2011/10/6,Metropolitan Adelaide,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure",wind,"Housing, land, planning and infrastructure, Water, energy, resources, environment and science",Selina
Corrosion Environments (Surf Coast),Identifies the breaking surf coast along South Australia's mainland coastline and Kangaroo Island (excluding all other islands) for the purpose of determining Corrosion Environments. Building Code of Australia Link: http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/the-building-code-of-australia,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/54657ede-7ecb-4a1e-870b-95af36c0f0c7,2016-10-10T04:14:43.101399,2016-12-04T23:09:25.634543,DPTI.PDBuildingBranch@sa.gov.au,,2009/7/14,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","building code, human environment, planning","Housing, land, planning and infrastructure",Selina
Corrosion Environment Areas,Corrosion Environments are areas located within 1 km of the coastline or 10 kms of breaking surf that are subject to special corrosion protection requirements for Class 1a and 10a buildings in accordance with the Building Code of Australia. Building Code of Australia Link: http://www.sa.gov.au/topics/property-and-land/land-and-property-development/building-rules-regulations-and-information/the-building-code-of-australia,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/00077ae8-57b2-40b7-b4b5-491872163d70,2016-10-10T03:37:43.030298,2016-12-04T23:09:13.689034,DPTI.PDBuildingBranch@sa.gov.au,,2009/7/14,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","building code, human environment, planning","Housing, land, planning and infrastructure",Selina
Pedestrian Crossings,South Australian intersections pedestrian crossing locations and information.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/2d972378-33e0-4be3-a412-c65a02fccb25,2014-07-04T05:26:00.695569,2016-12-01T05:53:41.496450,nick.avraam@sa.gov.au,Data will be updated on an irregular basis.,Not Known,Not Known,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","intersections, pedestrian, railways, roads","Transport, travel and motoring",Selina
Traffic Signals,South Australian intersections traffic signal locations and information.,dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/ded7c11d-2cd3-4bff-8d6f-dd850250a486,2014-07-04T04:39:51.655449,2016-12-01T05:53:40.904706,nick.avraam@sa.gov.au,,N/A,2015/11/1,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","intersections, pedestrians, roads, traffic, traffic lights, traffic signals","Transport, travel and motoring",Selina
School Crossings,South Australian intersections school crossing locations and information.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/c507f056-f5c9-4b03-8494-0665d5bea583,2014-07-04T04:45:16.731067,2016-12-01T03:37:12.654346,nick.avraam@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Preschools, intersections, pedestrian, roads, school crossings","Transport, travel and motoring",Selina
Road Crashes in SA,Sites of Road Crashes in South Australia.,dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/cf8d8549-b976-4523-88ad-46dd32053696,2014-07-10T07:03:08.934634,2016-11-22T23:21:24.432011,DPTI.RoadCrashData@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure",road crashes,"Emergency and safety, Transport, travel and motoring",Selina
Traffic Volumes,South Australia estimated and captured traffic volume information along sealed roads.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e5d6588a-f163-4f6a-bc57-25e95c87b5bd,2014-07-04T04:22:15.208346,2016-11-15T22:56:07.036509,andrew.krause@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","motoring, roads, traffic, volumes","Transport, travel and motoring",Selina
Bike Direct Network,BikeDirect is a strategic network of bicycle routes across the Adelaide metropolitan region in a variety of formats.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/6bfd0d67-6abc-43d7-bf87-dea7a0710208,2013-05-14T05:30:30.339234,2016-11-15T03:33:19.042964,gemma.kernich@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bikes, health, recreation, routes, safety, transport",Sports and Recreation,Selina
Survey Marks and Survey Mark Plans (Reference),Survey Marks and their related Survey Plans administered under the Survey Act 1992 to provide a control network for land surveys underpinning the State's cadaster.,dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/052a2bad-b3fc-46ae-8468-afdd9a5ac7e7,2015-07-27T22:44:03.415584,2016-11-08T07:02:07.895967,doug.roberts@sa.gov.au,,N/A,2015/7/1,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Survey Mark Plans, Survey Marks, Survey Reference","Business, industry and trade",Selina
Irrigation Divisions,An Irrigation Division refers to a unit of land inside an Irrigation Area within South Australia that is administered under the Irrigation Act for irrigation purposes.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e39c31c4-0b7d-4d8c-9f2e-359970e87d26,2016-03-23T05:26:26.283898,2016-11-08T07:00:53.166063,william.watt@sa.gov.au,Updated down to unit area,1995/2/1,2000/2/1,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Irrigation Area, Irrigation Division","Business, industry and trade",Selina
Government Towns,"The Government Towns layer is a data set that reflects the official boundaries of Government Towns in South Australia as defined by the Crown Land Management Act, 2009 or preceding Acts. The polygons are based on the existing cadastral data that defines the boundaries.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/651c38d5-dd1d-4dd0-b754-25a7e1457962,2016-03-23T23:13:28.695347,2016-11-08T07:00:41.637016,william.watt@sa.gov.au,Data based on aggregate level,1993/2/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Government Towns, Towns","Housing, land, planning and infrastructure",Selina
Hundreds,"The Hundreds layer is a data set that reflects the official boundaries of Hundreds in South Australia as defined by the Crown Land Management Act, 2009 or preceding Acts. Used in conjunction with cadastral boundaries to assist in the definition of land parcels.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/9aae79ed-0b42-4db7-8441-9889a4e842d3,2016-03-23T23:07:44.140522,2016-11-08T07:00:29.755537,william.watt@sa.gov.au,Updated down to unit area,1993/2/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Counties, Hundreds, Sections","Housing, land, planning and infrastructure",Selina
Wards,Spatial extend of the wards within local government areas. Wards are used in some local government areas for election of councillors. Not all LGA's have wards. The local governing body periodically reviews the ward boundaries through a process of electoral redistribution.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/71117de2-c4b6-4bc5-b04c-7aa7d294e2df,2016-03-23T05:33:55.887752,2016-11-08T07:00:18.641989,william.watt@sa.gov.au,Updated down to unit area,1996/3/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","LGA, Local Government Areas, Wards","Housing, land, planning and infrastructure",Selina
Boating Facilities,Information on the location and standard of boating facilities that are available for public use along South Australias coastal and inland waterways.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/5fa1cafd-4599-4888-9f70-6a19beb75a4d,2013-03-25T05:55:56.506636,2016-11-08T06:59:42.440991,DPTI.GISOffice@sa.gov.au,Data will be updated on an irregular basis.,1998/6/1,2011/4/1,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","boats, marine, nature, recreation, transport",Sports and Recreation,Selina
Jetties,Information on the location of South Australias jetties that are available for public use in a variety of formats.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/ace7352f-6c48-4a07-b846-2a7865791d87,2013-03-26T04:10:10.837557,2016-11-08T06:59:16.612989,DPTI.GISOffice@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","marine, nature, recreation, transport",Sports and Recreation,Selina
Development Plan Map Index,The Development Plan Map Index is used to determine which map to refer to in South Australian Development Plans. Link: http://www.sa.gov.au/topics/housing-property-and-land/local-government/development-plans/online-development-plans. Every council in South Australia has a Development Plan that specifies the type of development that can occur in that council area.,dataset,English,Creative Commons Attribution,active,Linked,Once off,/dataset/5f465f1d-0025-4fc9-9b5f-6714952ffcba,2015-12-20T22:48:58.850034,2016-11-08T06:58:51.548786,DPTI.PDPlanningInformation@sa.gov.au,Data based on aggregate level,1996/11/1,2015/2/16,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Development, Development Zones, Plan Amendment","Housing, land, planning and infrastructure",Selina
Local Government Areas,The location and extent of the local government areas (Councils) within South Australia in a variety of formats.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/968c8768-802a-48ed-92d9-eb927fe50c46,2013-05-14T05:14:29.311068,2016-11-08T06:56:19.249383,william.watt@sa.gov.au,,1996/3/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","council, location","Business, industry and trade, Housing, land, planning and infrastructure",Selina
Railside Significant Sites,The Railside Significant Sites contains a spatial representation of known sites of natural and cultural significance located along railway lines based on information contained in heritage registers and vegetation surveys.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/e4e7b7bf-232a-4193-b220-026d64dd829b,2014-07-04T05:02:19.511989,2016-11-08T06:54:48.399507,jennifer.slocombe@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","cultural, cultural significance, heritage, railway lines, railways, vegetation","Arts, culture & history, Transport, travel and motoring",Selina
Statewide Rail Network,Statewide Rail network in a variety of formats.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/6459ec32-a165-4de6-9861-1466f910434d,2013-05-27T05:06:36.352772,2016-11-08T06:53:54.269907,nick.avraam@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","rail, railways, spatial, transport","Housing, land, planning and infrastructure, Transport, travel and motoring",Selina
Road Route Numbers (Trail Blazer),Location of selected metropolitan and rural roads and highways identified to provide information to tourists and other visitors to assist lead them to a destination along a particular route. ,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/8c04fe5a-a624-467b-b5b8-61337c1870ec,2014-07-04T05:50:40.963420,2016-11-08T06:53:37.231036,chris.town@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","destination, roads, route, tourist information, visitor information","Transport, travel and motoring",Selina
Land Division Applications,"This dataset contains land division development applications pursuant to the Planning Act and Development Act 1993 lodged between November 1989 and October 1996 which had more than 5 allotments and all applications lodged since October 1996 regardless of the number of allotments.
Once a Certificate of Approval to Divide has been lodged with the Lands Titles Office the plan is deposited and the application (or relevant parts of an application for staged applications) status is changed from proposal to deposited. Other statuses record and reflect the current status of applications (and stages): refused, withdrawn and lapsed.",dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/31762379-208f-4b05-9d96-a868f3c712bc,2015-12-21T21:38:39.570835,2016-11-08T06:50:32.958686,DPTI.PDPlanningInformation@sa.gov.au,Data based on aggregate level,1989/11/1,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Development, Land, Land Division, Planning, Spatial","Housing, land, planning and infrastructure",Selina
Place names (State Gazetteer),"The South Australian State Gazetteer records any place name that is, or has been, used in South Australia.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/dataset/4497f76a-7b3d-4194-9a08-5f64ab037350,2013-03-14T17:19:58.222897,2016-11-08T06:49:37.436180,william.watt@sa.gov.au,,2005/11/16,Current,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","place, planning","Housing, land, planning and infrastructure",Selina
Bridge Structures,Bridge Structures contains all State maintained bridges and culverts residing on the Oracle Bridge Information System (BIS). BIS records bridges and culverts which have design drawings residing in DPTI files.,dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/5e3310bb-b963-4079-aaef-5a8e345266e7,2016-07-29T04:55:31.068903,2016-11-08T06:49:23.035437,Bob.Gilbert@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bridge, infrastructure",Government reporting and policy,Selina
Rest Areas,Sites of the location of Rest Areas in South Australia.,dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/f0bad1bc-2e94-4957-a52a-e2c58e3ebc79,2014-07-09T07:08:38.564897,2016-11-08T06:48:47.595203,david.poli@sa.gov.au,,Current,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","breaks, rest, rest areas, seats, sit down",Sports and Recreation,Selina
Metropolitan Adelaide Boundary (Development Act 1993),The Metropolitan Adelaide Boundary (Development Act 1993) defines Metropolitan Adelaide for the purposes of the Development Act 1993. Government Gazette notice link: http://publicsector.sa.gov.au/wp-content/uploads/Metropolitan-Adelaide-Boundary-Govt-Gazette-1993.pdf,dataset,English,Creative Commons Attribution,active,Linked,never,/dataset/fa844c04-dadd-4b57-9c85-7b103a38fbdc,2016-10-10T04:39:10.468007,2016-11-08T06:48:31.934702,DPTI.PDPlanningInformation@sa.gov.au,,1994/1/15,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","human environment, planning","Housing, land, planning and infrastructure",Selina
Real Time Traffic Delays (beta),This web service provides details of traffic delays that are currently active in the metropolitan Adelaide area updated every 30 seconds. The output format conforms to the GeoJSON Specification http://geojson.org/,dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/b2a3eb28-a191-4355-a716-57875b6ecfd4,2016-07-28T04:14:03.556828,2016-09-12T00:24:00.988869,james.cox@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","addinsight, delays, traffic, trafficsa","Transport, travel and motoring",Selina
State Maintained Roads," The State Maintained Roads dataset is derived from the TopoRoad dataset that is jointly maintained by DEWNR & DPTI. The Common Road Referencing System (CRRS) assigns a unique number to all roads of interest to Department for Planning,Transport and Infrastructure (DPTI) (currently or previously maintained) and defines the start, direction and end of the road for linear referencing (i.e. driven distance) purposes. The system defines reference points with known linear distances (known as road running distance). DPTI asset information is recorded in databases referenced using CRRS standards. This data set is for the Roads Maintained by the State or Federal Government. ",dataset,English,Creative Commons Attribution,active,Linked,weekly,/dataset/23633a1b-27c6-41fc-84cc-e43afc24996f,2016-07-28T04:41:01.029334,2016-09-07T06:08:32.794635,nick.avraam@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure",roads,Government reporting and policy,Selina
Travel Speed in Metropolitan Adelaide,"Travel time surveys are conducted annually on ten metropolitan Adelaide arterial road routes using the floating car technique. They are conducted on weekdays during both the morning and afternoon peaks as well as during the off-peak period. The results are displayed as actual travel speeds for each of the routes individually, as well as aggregated to form a suite of travel time performance indicators in a separate dataset ""Travel time performance indicators"". This dataset has results from 1998 to the latest year.",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/6165be8c-de3c-43df-b8ef-adecda469880,2016-07-21T02:15:20.963084,2016-09-06T00:51:14.144240,andrew.krause@sa.gov.au,,1998/1/1,2015/1/1,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","transport, travel speed","Transport, travel and motoring",Selina
Roadworks and Incidents real-time information,"This web service provides information about road works and incidents that are currently active in the metropolitan Adelaide area. It describes the location and type of the incident, the maximum delay caused and start and end dates.",dataset,English,Creative Commons Attribution,active,Linked,other,/dataset/8d75dfcc-cc95-4be3-8747-ff273e8c53db,2016-07-28T04:26:23.778967,2016-08-04T00:57:25.117906,damian.hogan@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","delays, incidents, real-time, road works","Transport, travel and motoring",Selina
Travel time performance indicators,"Travel time surveys are conducted annually on ten metropolitan Adelaide arterial road routes using the floating car technique. They are conducted on weekdays during both the morning and afternoon peaks as well as during the off-peak period. The results are displayed as actual travel speeds for each of the routes individually in a seperate dataset ""Travel Speed in Metropolitan Adelaide "", as well as aggregated to form a suite of travel time performance indicators. This dataset has results from 1994 to the latest year. ",dataset,English,Creative Commons Attribution,active,Hosted,annually,/dataset/49957d6f-4b19-4e78-81b5-d1f694f5b4d0,2016-07-31T23:42:18.717984,2016-07-31T23:45:35.333785,andrew.krause@sa.gov.au ,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Travel Speed, adelaide, metropolitan, vehicle","Transport, travel and motoring",Selina
Adelaide Metro Real-Time Passenger Information,"This link contains Stop Specific real-time information for buses, trains and trams for the adelaide metro network. Real-Time is a free, convenient and easy to use service. The link provides access to the engine that provides real-time supply of the data. The link is not for downloading data. Please refer to Refer to Adelaide_Metro_Realtime_Information_Developer_Information.PDF  in Adelaide Metro files.zip for URL instructions.",dataset,English,Creative Commons Attribution,active,Linked,daily,/dataset/e794a379-fbf5-457f-b195-7a0be974cc69,2013-05-23T01:50:38.773169,2016-07-29T04:06:12.398405,Pete.McKenna@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","Bus, Transport, Travel","Transport, travel and motoring",Selina
